sentence,sense_id
"His last, 1942-46 was as chairman of the National Aeronautical Commission for the development of jet <b>propulsion</b> for aircraft.""",propulsion.n.en.01
The S4G reactor is a naval reactor used by the United States Navy to provide electricity generation and <b>propulsion</b> on warships.,propulsion.n.en.01
The car is powered by a parallel hybrid <b>propulsion</b> system with a 2.5 litre TurboDiesel LANCIA engine and a kW (hp) AC electric drive; it was shown at Turin Motor Show 2000.,propulsion.n.en.01
"Cayley established the modern configuration of an airplane as a fixed-wing flying machine with separate systems for lift, <b>propulsion</b>, and control as early as 1799.""",propulsion.n.en.01
":For the nuclear powered spacecraft designed in the 1950s, see Project Orion (nuclear <b>propulsion</b>).",propulsion.n.en.01
"""[(Jet <b>Propulsion</b> Laboratory) ()]..",propulsion.n.en.01
Emmet became a leading advocate of the electric <b>propulsion</b> of ships.,propulsion.n.en.01
"In order to avoid <b>propulsion</b> units in the train (and thus reducing variants and development costs), it were designed to use a locomotive to haul it, and equip the end wagons with driver cabins.",propulsion.n.en.01
"**Power: 2 PR-77 gas turbines x 4000 horsepower, 2 lift fans, 2 <b>propulsion</b> fans",propulsion.n.en.01
Naval Reactors (often abbreviated to NR) is an umbrella term for the U.S. government office that has comprehensive responsibility for the continued safe and reliable operation of the United States Navy's nuclear <b>propulsion</b> program.,propulsion.n.en.01
A 'radio-controlled glider' is a type of radio-controlled airplane that normally does not have any form of <b>propulsion</b>.,propulsion.n.en.01
The Dutch navy had been experimenting as early as 1938 with a simple pipe system on the submarinesO-19 and O-20 that enabled them to travel at periscope depth operating on its diesels with almost unlimited underwater range while charging the <b>propulsion</b> batteries.,propulsion.n.en.01
"They are the mammals most fully adapted to aquatic life with a spindle-shaped nearly hairless body, protected by a thick layer of blubber, and forelimbs and tail modified to provide <b>propulsion</b> underwater.",propulsion.n.en.01
The Deep Space 1 experimental solar-powered ion <b>propulsion</b> engine The Deep Space 1 experimental solar-powered ion propulsion engine,propulsion.n.en.01
"They are the mammals most fully adapted to aquatic life with a spindle-shaped nearly hairless body, protected by a thick layer of blubber, and forelimbs and tail modified to provide <b>propulsion</b> underwater.",propulsion.n.en.01
"They are equipped with fin stabilizers and twin rudders, and can use either gas turbines and diesel for <b>propulsion</b> in a CODOG configuration.",propulsion.n.en.01
"While the exact detail of this technology is unknown, Voiture Lumiere is a new form of <b>propulsion</b> system that is primary used for interplanetery travel.",propulsion.n.en.01
"The following year an aft-facing Bristol-Siddeley Viper III jet engine, mounted on the rear of the decking behind the lift fan housing, supplemented the ducted-air <b>propulsion</b> produced by the piston engine, increasing the craft's maximum speed from 35 to 50 knots.",propulsion.n.en.01
"They are the mammals most fully adapted to aquatic life with a spindle-shaped nearly hairless body, protected by a thick layer of blubber, and forelimbs and tail modified to provide <b>propulsion</b> underwater.",propulsion.n.en.01
"The Sierra signal flag used to convey, ""I am operating astern <b>propulsion</b>.""",propulsion.n.en.01
WIL builds high speed transmission and <b>propulsion</b> systems for industrial and marine applications.,propulsion.n.en.01
"The interior held the cameras and the film processing system, radio equipment, <b>propulsion</b> systems, batteries, gyroscopic units for attitude control, and circulating fans for temperature control.",propulsion.n.en.01
"This meant, for example, that the failure rate of the Titan IV, which used strap-on solid rocket motors, did not count against the Ares, which has a main solid rocket motor, but counted against the Delta IV Heavy, which has only liquid <b>propulsion</b>.",propulsion.n.en.01
"The UK, Australia, France, Russia, and India have also progressed in hypersonic <b>propulsion</b> research.",propulsion.n.en.01
"Background: Fitted with medium-speed diesel <b>propulsion</b>, the delivery of USNS Patuxent (T-AO-201), Rappahannock (T-AO-204) and Laramie (T-AO-203) was delayed by the decision to fit double hulls to meet the requirements of the Oil Pollution Act of 1990.",propulsion.n.en.01
"<b>Propulsion</b> for the train is provided by a separate locomotive, or from individual motors in self-propelled multiple units.",propulsion.n.en.01
"The Asheville employed a Combined diesel or gas turbine (CODOG) <b>propulsion</b> system; twin Cummins Diesels for endurance, and a GE LM1500 gas turbine for high-speed dash.",propulsion.n.en.01
"In an isolated incident from her safe operational record, in October 2007, six naval personnel were disciplined for fraudulently documenting the chemistry records of the Hampton's nuclear <b>propulsion</b> plant CNN Article regarding disciplined sailors Washington Post article on nuclear safety issue.",propulsion.n.en.01
"Following the completion of two years of training and evaluation, Wilmore was assigned technical duties representing the astronaut office on all <b>propulsion</b> systems issues including the space shuttle main engines, solid rocket motor, external tank, and also served on the astronaut support team that traveled to the Kennedy Space Center, Florida, in support of launch and landing operations.",propulsion.n.en.01
"""Why we are angry with the Germans "", The Daily Telegraph, 22 July 2002 Without the German <b>propulsion</b> system, MBDA deemed that Meteor could not realistically proceed.",propulsion.n.en.01
"""...procedure or idea in order to obtain the lift of a body or apparatus on the air, as well as the <b>propulsion</b> if wanted, both things simultaneous or not, by means of special wheels of one or more blades, jointed, moveable, gradually leaning, depending on the variation and form explained in the body of the current Memory.""",propulsion.n.en.01
"*A way to move something, see <b>propulsion</b> (disambiguation)",propulsion.n.en.01
2) &#8216; United Technologies Research Center Award of Excellence &#8217; for developing a unique manufacturing process for hydrocarbon catalysis for high-speed aircraft &amp; missile <b>propulsion</b> (1994).,propulsion.n.en.01
"The company had moved into jet <b>propulsion</b>, producing their first for the military- the conventional F3D Skyknight in 1948 and then the more 'jet age' F4D Skyray in 1951.",propulsion.n.en.01
"Contrary to many erroneous claims circulated on the internet by domestic Chinese military enthusiasts, the rumored pump-jet <b>propulsion</b> system is not used on this submarine, because that system is still under development.",propulsion.n.en.01
"In 1947, the invention of the point-contact transistor brought about the creation of modern semiconductor controls and improved batteries; this led to new possibilities for electric <b>propulsion</b>.",propulsion.n.en.01
The ultimate goal of the project was to apply any findings on the subject of geomagnetism to the possibility of exploiting Earth's magnetic field as a source of <b>propulsion</b> for vehicles.,propulsion.n.en.01
"Equipped with ""Voiture Lumiere"" beam wing <b>propulsion</b> system, and armed with a sword and beam rifle.",propulsion.n.en.01
CS Navy ironclad floating batteries lacked steam engines for <b>propulsion</b> and were towed into firing positions.,propulsion.n.en.01
"The FGB provided electrical power, storage, <b>propulsion</b>, and guidance to the ISS during the initial stage of assembly.",propulsion.n.en.01
"New observations on airborne jet <b>propulsion</b> (flight) in squid, with a review of previous reports.",propulsion.n.en.01
"Though scheduled to sail for Haiphong on 16 June, she was delayed by more problems in her <b>propulsion</b> plant.",propulsion.n.en.01
"&#8220;It is the first major warship in the world with a horizontal exhaust and water jet <b>propulsion</b>, and has an X-form outer hull,"" he said.",propulsion.n.en.01
"Landing was hazardous not only because the Komet had no wheels, but because sparks from the metal landing skid often flew up and ignited fuel vapours escaping from the <b>propulsion</b> system.",propulsion.n.en.01
"For information on buses using a combination of internal-combustion engines and electric <b>propulsion</b>, see Hybrid electric buses and Dual-mode buses.",propulsion.n.en.01
